Country,Power_Plant,Capacity_MW,Year_Commissioned,Operator,Type,Fuel,Location,Status,Construction_Start,Cost_Billion_USD,Safety_Rating
Indonesia,Chen and Sons,62600,2010,"Gardner, Caldwell and Peters",Fast Breeder Reactor,Thorium,"West Marco, Indonesia",Operational,1974,4.0,2
Syrian Arab Republic,Moran PLC,159400,2023,Lawrence Inc,Pressurized Water Reactor,Thorium,"East Elizabethburgh, Syrian Arab Republic",Planned,2018,2.88,1
Seychelles,"Knight, Cole and Monroe",198700,2020,"Vasquez, Byrd and Cooper",Boiling Water Reactor,Mixed Oxide Fuel,"Lake Rebeccaport, Seychelles",Decommissioned,1974,9.46,2
Honduras,"Tyler, Woodard and Miranda",447400,2020,"Watkins, Brock and Sanders",Boiling Water Reactor,Uranium,"Lisaport, Honduras",Decommissioned,1981,5.49,5
Singapore,Wright Inc,62400,1989,"Mcdowell, Carroll and Ward",Pressurized Water Reactor,Uranium,"North Brittany, Singapore",Decommissioned,1977,1.14,3
Indonesia,Kirk-Foley,222100,1970,Martinez Inc,Boiling Water Reactor,Uranium,"East Anthonyview, Indonesia",Decommissioned,1998,4.27,4
Nigeria,Gamble and Sons,282100,2008,"Mejia, Parker and Webb",Fast Breeder Reactor,Thorium,"Christopherchester, Nigeria",Under Construction,2007,1.74,3
Venezuela,Santana Ltd,417700,1982,Fisher and Sons,Pressurized Water Reactor,Mixed Oxide Fuel,"Allenport, Venezuela",Decommissioned,1993,3.76,1
Namibia,Cooper Ltd,312800,1976,"Turner, Eaton and Smith",Boiling Water Reactor,Uranium,"Robertston, Namibia",Planned,2013,6.29,2
Lao People's Democratic Republic,Lang-Pierce,244300,1985,Davis-Schultz,Pressurized Water Reactor,Thorium,"North Karentown, Lao People's Democratic Republic",Planned,1997,4.12,1
Montserrat,Mata-Dodson,74200,1980,Mason LLC,Boiling Water Reactor,Thorium,"North Monique, Montserrat",Planned,1973,4.58,5
Poland,"Hurst, Ellis and Giles",317800,1974,"Hall, Simmons and Glenn",Boiling Water Reactor,Mixed Oxide Fuel,"Sarahview, Poland",Under Construction,2005,9.31,1
Algeria,"Roberts, Lewis and Morris",353500,2016,Sullivan-Parks,Pressurized Water Reactor,Mixed Oxide Fuel,"West Daniel, Algeria",Decommissioned,2013,2.28,4
Ghana,Riley Inc,243300,2010,Clark Ltd,Fast Breeder Reactor,Thorium,"Hawkinsstad, Ghana",Decommissioned,1988,3.7,4
Korea,Green Inc,284800,1975,Jimenez-Gregory,Fast Breeder Reactor,Uranium,"Port Ronald, Korea",Operational,1979,8.06,5
Macao,Phelps-Pham,106500,1996,"Lopez, Krueger and Austin",Pressurized Water Reactor,Uranium,"Tonyport, Macao",Operational,1981,2.43,4
Chad,"Carlson, Shepard and Fisher",396800,2004,Young-Thompson,Boiling Water Reactor,Mixed Oxide Fuel,"New Gabriella, Chad",Decommissioned,1976,2.73,5
Norfolk Island,"Franklin, Mason and Chandler",422100,1970,Johnston-Heath,Boiling Water Reactor,Uranium,"Pinedaton, Norfolk Island",Decommissioned,1987,9.38,3
Brazil,Henry Group,303900,1974,George and Sons,Fast Breeder Reactor,Thorium,"West Austinland, Brazil",Operational,1987,1.89,5
Norfolk Island,Cooper-Watson,440700,1976,"Holland, Thompson and Lewis",Pressurized Water Reactor,Uranium,"Brownside, Norfolk Island",Under Construction,1977,6.75,2
Equatorial Guinea,Nolan and Sons,180300,2019,"Lawrence, Mora and Buck",Pressurized Water Reactor,Mixed Oxide Fuel,"Anneport, Equatorial Guinea",Operational,1975,6.23,2
Brazil,Ray-Ray,141400,2022,"Woods, Bond and Costa",Pressurized Water Reactor,Mixed Oxide Fuel,"Port David, Brazil",Under Construction,2013,4.92,3
Bolivia,Henry Ltd,450900,1983,Ferguson Group,Pressurized Water Reactor,Uranium,"North Kathrynstad, Bolivia",Planned,1971,8.22,2
French Southern Territories,Johnson and Sons,251400,1987,"Bradley, Burns and Franklin",Fast Breeder Reactor,Uranium,"Daniellechester, French Southern Territories",Planned,1979,9.87,3
Falkland Islands (Malvinas),Perkins LLC,137700,1970,Johnston Inc,Pressurized Water Reactor,Thorium,"Kimberlymouth, Falkland Islands (Malvinas)",Planned,1978,4.44,3
Senegal,Nunez-Hill,122300,2011,"Ray, Orr and Young",Fast Breeder Reactor,Mixed Oxide Fuel,"North Christopher, Senegal",Operational,2010,9.72,3
Norway,Smith-Wise,92400,1993,"Washington, Murphy and Russell",Fast Breeder Reactor,Thorium,"Lake Paul, Norway",Under Construction,2022,3.25,2
Nigeria,Mitchell Group,226000,1975,Berry-Santiago,Fast Breeder Reactor,Mixed Oxide Fuel,"Lindamouth, Nigeria",Decommissioned,1975,9.73,4
Thailand,Jacobs and Sons,200100,1984,Daniels LLC,Pressurized Water Reactor,Uranium,"Lake Michealchester, Thailand",Under Construction,2017,6.98,1
Taiwan,Johnson-Reynolds,261600,1992,Jones-Mckee,Fast Breeder Reactor,Uranium,"Morenotown, Taiwan",Operational,1997,8.28,1
Antarctica (the territory South of 60 deg S),"Stanley, Gross and Thompson",309700,2023,"Mcdaniel, Ward and Beck",Pressurized Water Reactor,Mixed Oxide Fuel,"New Anthony, Antarctica (the territory South of 60 deg S)",Under Construction,2019,1.72,2
Palau,"Martinez, Santos and May",117000,2011,Williams PLC,Fast Breeder Reactor,Uranium,"New Alicia, Palau",Under Construction,1982,3.64,3
Saint Martin,Hodges LLC,358800,1998,Todd-Martin,Pressurized Water Reactor,Thorium,"Ruizmouth, Saint Martin",Planned,1996,9.69,2
Mongolia,Parker and Sons,329400,2016,Figueroa-Dunn,Fast Breeder Reactor,Thorium,"East Codystad, Mongolia",Under Construction,1993,3.41,1
Anguilla,Koch Ltd,345100,2013,Sweeney-Wilkerson,Fast Breeder Reactor,Uranium,"Dennisville, Anguilla",Decommissioned,2013,6.28,1
Norfolk Island,Wolfe Ltd,117700,1971,Ross-Powell,Boiling Water Reactor,Thorium,"Philipton, Norfolk Island",Planned,1979,4.71,3
Pitcairn Islands,Adkins LLC,126700,1980,Cohen-Hubbard,Pressurized Water Reactor,Uranium,"North Kenneth, Pitcairn Islands",Planned,2009,9.09,5
Ethiopia,Johnson-Vaughn,95000,2013,"Mendoza, Johnson and Valencia",Boiling Water Reactor,Mixed Oxide Fuel,"Christophermouth, Ethiopia",Planned,1973,3.65,3
Tunisia,Carroll-Crawford,383300,1995,Rivera Inc,Pressurized Water Reactor,Uranium,"South Sara, Tunisia",Under Construction,1989,9.9,2
Ireland,"Sharp, Allen and Anderson",497000,1978,Davis-Ramirez,Boiling Water Reactor,Mixed Oxide Fuel,"Jessicaland, Ireland",Decommissioned,1984,2.1,3
Cuba,Ruiz and Sons,52800,1979,"Sanders, Carter and Harris",Pressurized Water Reactor,Mixed Oxide Fuel,"Port Nancytown, Cuba",Under Construction,2006,9.1,3
Bermuda,"Watson, Shaw and Everett",340900,1979,Sanchez and Sons,Pressurized Water Reactor,Uranium,"Barbaramouth, Bermuda",Decommissioned,2002,9.05,2
Jamaica,"Wood, Kramer and Hunt",137000,1992,Cantu-Nolan,Fast Breeder Reactor,Thorium,"Baileyhaven, Jamaica",Under Construction,2009,4.05,3
China,Johnson-Nichols,309200,2020,"Thomas, Little and Sanchez",Boiling Water Reactor,Thorium,"Barbaraville, China",Planned,1986,2.16,5
Sudan,White PLC,89900,2002,"Torres, Hodges and Anderson",Boiling Water Reactor,Thorium,"North Williamfurt, Sudan",Planned,1985,5.89,4
Malaysia,"Coleman, Barnett and Petersen",75100,2013,"Jones, Lawson and Gibson",Fast Breeder Reactor,Thorium,"Lake Caroline, Malaysia",Decommissioned,2013,5.75,1
Mauritania,Garza and Sons,178300,2008,Miller Group,Pressurized Water Reactor,Thorium,"New Donnamouth, Mauritania",Under Construction,1996,5.85,4
Liberia,Wolfe-Tucker,229900,1978,"Jefferson, Reynolds and Weiss",Boiling Water Reactor,Uranium,"Johnathanburgh, Liberia",Decommissioned,1990,7.39,2
Djibouti,"Stewart, Gonzalez and Jones",172800,2007,Sims Group,Pressurized Water Reactor,Mixed Oxide Fuel,"Michelleside, Djibouti",Operational,1999,4.0,2
Morocco,Jacobson Group,334300,1973,Sandoval-Johnson,Boiling Water Reactor,Thorium,"Anthonybury, Morocco",Operational,1999,8.94,3
Niue,"Cooper, Adams and Grant",175100,1996,Mitchell-Lewis,Fast Breeder Reactor,Uranium,"Reedberg, Niue",Operational,2001,3.29,4
United Kingdom,"Strickland, Adams and Porter",499500,2017,Wong-Andrews,Pressurized Water Reactor,Uranium,"South Beckytown, United Kingdom",Planned,1992,9.3,5
Comoros,Hayes Ltd,487000,1997,Clark-Werner,Boiling Water Reactor,Uranium,"Susanborough, Comoros",Decommissioned,1984,3.73,1
Ghana,"Medina, Ward and Williams",231300,2000,"Brown, Ellis and Jensen",Pressurized Water Reactor,Mixed Oxide Fuel,"Sarahshire, Ghana",Under Construction,1984,8.31,2
Comoros,Gonzales LLC,441100,2012,Gallagher-Mendoza,Pressurized Water Reactor,Uranium,"Smithfort, Comoros",Under Construction,2013,9.38,4
Belarus,"Bruce, Neal and Hunter",54700,2019,Mack-Harvey,Boiling Water Reactor,Thorium,"Nathanton, Belarus",Planned,2007,9.0,4
Cambodia,Harrington-Lewis,64700,1978,"Hurley, Duncan and Schmidt",Fast Breeder Reactor,Mixed Oxide Fuel,"Bushborough, Cambodia",Decommissioned,1975,9.56,5
Burundi,Becker-Liu,106500,2001,Williams Inc,Pressurized Water Reactor,Thorium,"East Travisstad, Burundi",Decommissioned,1971,3.39,4
North Macedonia,Norton-Lowe,226300,1981,Fox Inc,Boiling Water Reactor,Uranium,"South Karen, North Macedonia",Decommissioned,2017,5.13,5
Holy See (Vatican City State),Romero LLC,374900,2001,Fleming and Sons,Boiling Water Reactor,Thorium,"Millerton, Holy See (Vatican City State)",Decommissioned,1997,6.28,2
Nigeria,Butler Ltd,464700,2005,Evans-Townsend,Pressurized Water Reactor,Thorium,"Port Debrastad, Nigeria",Planned,1996,4.36,4
Eritrea,Fisher-Lewis,153600,1973,Jones-Burch,Fast Breeder Reactor,Mixed Oxide Fuel,"East Aliciafort, Eritrea",Operational,1999,9.38,2
Honduras,Stewart Group,126000,2023,Bennett LLC,Fast Breeder Reactor,Uranium,"West Amandaport, Honduras",Operational,1982,5.15,4
Mongolia,"Smith, Barry and Cunningham",78800,1990,"Edwards, Woodard and Flores",Boiling Water Reactor,Uranium,"Edwardsmouth, Mongolia",Planned,2021,5.23,5
Bolivia,Dougherty-Harris,385000,2000,Gonzalez-Lewis,Fast Breeder Reactor,Mixed Oxide Fuel,"Meghanville, Bolivia",Planned,2002,2.04,5
Tokelau,Butler-Robinson,83400,1997,Palmer LLC,Pressurized Water Reactor,Uranium,"Blanchardville, Tokelau",Under Construction,2011,8.12,5
Timor-Leste,Boyd Group,345600,1981,"Davis, Cross and Rivera",Pressurized Water Reactor,Thorium,"Kellyburgh, Timor-Leste",Operational,1973,5.96,2
Armenia,Baker Inc,480000,1982,Kline PLC,Pressurized Water Reactor,Thorium,"Annashire, Armenia",Decommissioned,1999,8.95,5
Iraq,Wilson Inc,322100,1972,Castillo LLC,Boiling Water Reactor,Thorium,"South Laura, Iraq",Decommissioned,1992,6.97,1
Uganda,Snyder-Baker,179300,2004,Lee PLC,Pressurized Water Reactor,Thorium,"North Frankmouth, Uganda",Operational,2001,5.75,5
Netherlands,"Pierce, Bright and Wise",402400,1983,Tyler-Boyer,Boiling Water Reactor,Mixed Oxide Fuel,"Port Yolanda, Netherlands",Operational,2013,7.35,3
Hong Kong,Boone and Sons,113000,1993,Johnson-Stafford,Fast Breeder Reactor,Uranium,"North Alisha, Hong Kong",Planned,2006,8.44,2
Solomon Islands,"Anderson, Stephens and Parker",256000,2021,Fleming-Stuart,Pressurized Water Reactor,Thorium,"Mullenfurt, Solomon Islands",Operational,2008,3.15,4
Greece,Hubbard Inc,209300,2017,Holland LLC,Fast Breeder Reactor,Mixed Oxide Fuel,"Rodneyburgh, Greece",Planned,1973,4.64,2
Guam,Watts-Harmon,363000,1981,"Hays, Molina and Jackson",Fast Breeder Reactor,Uranium,"Russellside, Guam",Under Construction,1985,5.84,2
Eritrea,Mcdaniel LLC,54100,2014,James-Rangel,Pressurized Water Reactor,Uranium,"South Judy, Eritrea",Decommissioned,1998,2.46,3
United States of America,"Carney, Peterson and Anderson",345300,1974,Cole-Peters,Fast Breeder Reactor,Mixed Oxide Fuel,"Christopherfort, United States of America",Decommissioned,1988,7.75,2
Kenya,Brooks-Ramirez,122500,1974,Edwards-Medina,Boiling Water Reactor,Mixed Oxide Fuel,"Davisshire, Kenya",Decommissioned,2023,5.16,4
Mauritania,"Reynolds, Fletcher and Burgess",332700,2003,Gordon and Sons,Fast Breeder Reactor,Thorium,"Mccartyfort, Mauritania",Under Construction,1982,5.1,3
Turks and Caicos Islands,"Dunlap, Rivas and Clark",431200,2007,Nelson-White,Boiling Water Reactor,Mixed Oxide Fuel,"Leonardview, Turks and Caicos Islands",Decommissioned,1987,9.42,4
Lithuania,Rhodes-Miller,218700,1986,Ramirez and Sons,Boiling Water Reactor,Thorium,"New Spencer, Lithuania",Decommissioned,2010,1.33,3
Andorra,Williams-Castillo,225100,1997,Sims-Boyd,Boiling Water Reactor,Uranium,"North Kristyhaven, Andorra",Under Construction,1997,6.92,5
Belarus,Macias-Benson,430800,1995,Melendez and Sons,Pressurized Water Reactor,Thorium,"Owenstown, Belarus",Decommissioned,2002,1.35,1
Saint Vincent and the Grenadines,"Rose, Campbell and Kaiser",271600,2002,"Washington, King and Brown",Fast Breeder Reactor,Mixed Oxide Fuel,"Campbellton, Saint Vincent and the Grenadines",Operational,2017,8.26,2
Malawi,James Inc,238000,2018,Roberts Group,Fast Breeder Reactor,Mixed Oxide Fuel,"Pamelamouth, Malawi",Under Construction,2014,6.36,3
Tanzania,Kim Group,343800,1980,Rogers Inc,Boiling Water Reactor,Thorium,"North Jennifer, Tanzania",Planned,2018,5.29,3
Sao Tome and Principe,Fernandez-Hamilton,177100,2018,Ross-Newman,Pressurized Water Reactor,Thorium,"North Jody, Sao Tome and Principe",Planned,1979,4.8,4
Montserrat,Carpenter-Garcia,308100,2006,"Rosales, Allen and Hunt",Fast Breeder Reactor,Thorium,"Port Mariastad, Montserrat",Planned,2003,8.74,3
Argentina,Collier-Gilbert,196500,2017,"Diaz, Jones and Robinson",Boiling Water Reactor,Thorium,"South Darren, Argentina",Decommissioned,1993,8.19,1
Pitcairn Islands,Johnson PLC,308900,1992,"Roth, Chavez and Velazquez",Fast Breeder Reactor,Uranium,"Rayview, Pitcairn Islands",Under Construction,1988,5.42,4
Macao,"Miller, Oneill and Garcia",416600,1990,Simon-Rogers,Boiling Water Reactor,Mixed Oxide Fuel,"Carlostown, Macao",Decommissioned,2001,8.31,3
Italy,Banks Inc,77600,1991,"Roach, Brown and Herrera",Pressurized Water Reactor,Mixed Oxide Fuel,"South Nicholas, Italy",Under Construction,2010,6.22,5
American Samoa,Delgado LLC,152700,2010,Ellis-Lawrence,Boiling Water Reactor,Uranium,"New Matthewfort, American Samoa",Operational,2007,8.42,3
Liechtenstein,"Duke, Williams and Barnett",237700,2004,Roman Ltd,Fast Breeder Reactor,Thorium,"Perezville, Liechtenstein",Planned,1971,6.2,3
Denmark,Santana Group,96100,1983,"Richards, Williams and Drake",Fast Breeder Reactor,Thorium,"New Amanda, Denmark",Decommissioned,2009,4.26,3
Pitcairn Islands,Mccullough-Wilkerson,484900,2005,"Miller, Davis and Kidd",Fast Breeder Reactor,Thorium,"North Matthewview, Pitcairn Islands",Operational,2015,6.86,2
Belgium,King Inc,221000,1971,"Johnson, Avila and Wright",Boiling Water Reactor,Mixed Oxide Fuel,"Stephanieport, Belgium",Under Construction,2015,8.64,2
United States Minor Outlying Islands,"Johnson, Doyle and Cole",317100,2001,Marsh Inc,Fast Breeder Reactor,Thorium,"West Daniel, United States Minor Outlying Islands",Under Construction,2013,1.75,4
Namibia,"Garcia, Brennan and Crawford",145300,2022,Garcia-Garcia,Boiling Water Reactor,Mixed Oxide Fuel,"Port Christopher, Namibia",Under Construction,2007,4.64,5
Angola,Hunt Inc,424500,2003,Ray-Wilson,Fast Breeder Reactor,Mixed Oxide Fuel,"North Diana, Angola",Under Construction,1972,3.86,2
Canada,Moyer-Rios,219500,2001,Wade-Wade,Fast Breeder Reactor,Uranium,"West Debraview, Canada",Operational,2023,5.68,5
Korea,Martin Inc,456200,1977,"Christensen, Gonzalez and Jones",Fast Breeder Reactor,Thorium,"South Austinborough, Korea",Operational,2009,2.35,2
United Arab Emirates,Larsen-Brown,181200,2022,Lucas LLC,Fast Breeder Reactor,Mixed Oxide Fuel,"Kathyshire, United Arab Emirates",Planned,1998,5.5,3
Madagascar,Mccarthy-Brown,383500,1979,Grimes-Hodges,Boiling Water Reactor,Mixed Oxide Fuel,"Lake Jesusborough, Madagascar",Planned,2020,8.49,1
Kiribati,"Lopez, Chapman and Poole",108900,1983,Costa PLC,Boiling Water Reactor,Mixed Oxide Fuel,"Williamton, Kiribati",Planned,1976,6.7,2
Bahamas,Thomas-Johnson,331500,2018,Griffin-Morgan,Fast Breeder Reactor,Mixed Oxide Fuel,"Port Aprilbury, Bahamas",Planned,1970,4.53,5
Kenya,Odonnell Group,490100,1984,"Hughes, Poole and Williams",Boiling Water Reactor,Mixed Oxide Fuel,"Burnettmouth, Kenya",Operational,2013,5.53,3
Albania,Khan-Conley,355500,2015,Lucas-Johnson,Boiling Water Reactor,Uranium,"North James, Albania",Planned,1981,7.88,2
Uzbekistan,Shelton-Johnson,84300,1997,Martin PLC,Fast Breeder Reactor,Thorium,"Cynthiashire, Uzbekistan",Operational,1994,8.11,5
Nauru,Hayes PLC,394100,1973,Rivera-Hall,Boiling Water Reactor,Thorium,"Gainesstad, Nauru",Operational,2011,9.65,1
Monaco,"Miller, Garcia and Phelps",393700,2016,"Chavez, Lopez and Johns",Fast Breeder Reactor,Thorium,"South Andrew, Monaco",Decommissioned,2020,5.47,2
Korea,Edwards-Taylor,309400,1992,Andrews-Weber,Fast Breeder Reactor,Mixed Oxide Fuel,"Gonzalezchester, Korea",Under Construction,1995,7.61,4
Nicaragua,"Cox, Johnson and Small",236900,1974,Reeves Group,Fast Breeder Reactor,Thorium,"Mirandastad, Nicaragua",Under Construction,1992,4.95,2
Azerbaijan,"Gibbs, Hanson and Gardner",177600,1999,Johnson-Bailey,Fast Breeder Reactor,Thorium,"Blanchardborough, Azerbaijan",Under Construction,1990,5.54,2
Uganda,"Hall, Martinez and Schaefer",55800,2001,"Durham, Knight and Richardson",Boiling Water Reactor,Uranium,"Calhounborough, Uganda",Decommissioned,1992,7.58,2
Timor-Leste,Hill PLC,315300,2004,Dean Inc,Boiling Water Reactor,Uranium,"Nortonborough, Timor-Leste",Planned,1999,9.88,3
Belarus,"Moore, Hays and Johnson",52600,2016,"Hayes, Foster and Dennis",Boiling Water Reactor,Mixed Oxide Fuel,"Martinfurt, Belarus",Under Construction,1990,5.83,2
Tanzania,Smith-Conner,226000,2002,Walker-Farrell,Fast Breeder Reactor,Mixed Oxide Fuel,"West Johnfurt, Tanzania",Operational,1981,5.98,3
Northern Mariana Islands,"Rogers, Cross and Palmer",218900,2000,"Oconnor, Garcia and Leblanc",Boiling Water Reactor,Uranium,"Gabriellemouth, Northern Mariana Islands",Under Construction,1970,2.49,1
Marshall Islands,Schmidt and Sons,426100,1990,"Day, Jacobs and Hickman",Fast Breeder Reactor,Thorium,"Sanfordland, Marshall Islands",Operational,1993,3.55,1
Marshall Islands,Stephens and Sons,330600,1990,"Thomas, Young and Cooper",Pressurized Water Reactor,Mixed Oxide Fuel,"West Brianshire, Marshall Islands",Operational,1994,7.58,3
Brunei Darussalam,"Juarez, Barnes and Robinson",114400,1972,"Aguirre, Sparks and Weaver",Pressurized Water Reactor,Uranium,"North Darrellbury, Brunei Darussalam",Operational,1994,2.23,1
Micronesia,Martinez Inc,312900,2011,Weaver LLC,Fast Breeder Reactor,Mixed Oxide Fuel,"West Clifford, Micronesia",Planned,1997,3.81,3
Gabon,Smith and Sons,89900,2010,Harper-Thompson,Pressurized Water Reactor,Uranium,"Rickfort, Gabon",Operational,2023,4.41,4
Bosnia and Herzegovina,Mcbride-Hall,245600,2019,Barton-Myers,Pressurized Water Reactor,Uranium,"New Jonathanstad, Bosnia and Herzegovina",Operational,1985,4.82,1
Lao People's Democratic Republic,"Ibarra, Campbell and Winters",108500,1984,"Spencer, Cohen and Brown",Pressurized Water Reactor,Thorium,"Andersonchester, Lao People's Democratic Republic",Planned,1994,9.79,3
Samoa,"Bennett, Henry and Perkins",278100,2008,"Camacho, Lowery and Jackson",Fast Breeder Reactor,Thorium,"New Debraberg, Samoa",Decommissioned,2006,2.14,5
Russian Federation,Jacobson and Sons,466700,1971,Collins and Sons,Fast Breeder Reactor,Uranium,"South Ryan, Russian Federation",Operational,1990,2.35,3
Western Sahara,Moore-Phillips,240100,2001,Hoover Ltd,Pressurized Water Reactor,Thorium,"North Melinda, Western Sahara",Planned,2013,2.35,3
Nicaragua,Jackson and Sons,213000,2003,Jordan-Roberts,Fast Breeder Reactor,Uranium,"Andrewstad, Nicaragua",Under Construction,2011,8.05,2
Comoros,"White, Drake and Wright",466100,1975,"Smith, Brock and Edwards",Fast Breeder Reactor,Thorium,"New Karenview, Comoros",Operational,1975,5.13,5
Luxembourg,Sharp-Malone,273300,1982,"Cannon, Riley and Sanchez",Fast Breeder Reactor,Mixed Oxide Fuel,"Jamesland, Luxembourg",Decommissioned,1997,7.49,1
Slovakia (Slovak Republic),"Peters, Garner and Villarreal",81500,2017,Schneider Inc,Pressurized Water Reactor,Mixed Oxide Fuel,"Marissashire, Slovakia (Slovak Republic)",Planned,2000,6.07,3
Hong Kong,Watson Inc,410500,1995,Williams Group,Boiling Water Reactor,Thorium,"Lake Andrew, Hong Kong",Decommissioned,1991,5.44,1
Iceland,May-Miller,336500,1997,Alvarado Inc,Fast Breeder Reactor,Thorium,"Amberfort, Iceland",Planned,2002,9.6,4
Saudi Arabia,Nelson-Fleming,253400,1972,"Kirby, Ross and Richardson",Pressurized Water Reactor,Thorium,"Jennifermouth, Saudi Arabia",Decommissioned,1981,7.57,4
Ireland,Torres LLC,65400,2023,Rogers-Bates,Boiling Water Reactor,Uranium,"Lake Katherineshire, Ireland",Decommissioned,1998,9.51,3
Svalbard & Jan Mayen Islands,"Dudley, Schneider and Aguilar",227700,1988,"Morgan, Heath and Powers",Fast Breeder Reactor,Uranium,"Dixonton, Svalbard & Jan Mayen Islands",Decommissioned,1980,4.52,2
Guyana,Phillips-Aguilar,126700,1979,Grant LLC,Boiling Water Reactor,Thorium,"Annamouth, Guyana",Planned,1999,2.83,1
Ethiopia,Francis-Taylor,74800,1974,Garcia-Ferguson,Pressurized Water Reactor,Uranium,"West Melanie, Ethiopia",Planned,1992,6.72,4
Timor-Leste,Cooper LLC,67000,2007,"Rivas, Jackson and Robinson",Pressurized Water Reactor,Mixed Oxide Fuel,"Gardnerstad, Timor-Leste",Under Construction,2015,1.61,1
Jamaica,"Miller, Browning and Duran",364900,1979,Hensley and Sons,Pressurized Water Reactor,Uranium,"New Matthew, Jamaica",Planned,2008,8.2,2
Saint Vincent and the Grenadines,Rodriguez-Stevenson,267500,1994,Blair-Moreno,Boiling Water Reactor,Mixed Oxide Fuel,"Sabrinaborough, Saint Vincent and the Grenadines",Operational,1989,4.59,4
Grenada,Barber LLC,436800,2004,"Sanchez, Davis and Wells",Fast Breeder Reactor,Mixed Oxide Fuel,"Nicholasmouth, Grenada",Planned,2014,9.53,3
Pakistan,Sharp Ltd,215000,2014,"Blackwell, Gonzalez and Cruz",Pressurized Water Reactor,Thorium,"Port Carolynside, Pakistan",Planned,2021,8.82,5
United States of America,"Thomas, Carson and Ware",332800,1995,Butler Inc,Pressurized Water Reactor,Thorium,"Burkeburgh, United States of America",Planned,1986,8.04,5
Bulgaria,Edwards Group,317700,1970,"Ramirez, Alvarez and Reynolds",Fast Breeder Reactor,Mixed Oxide Fuel,"New Anthonyside, Bulgaria",Under Construction,1999,6.45,5
Myanmar,Hawkins-Williamson,174400,1997,Spencer Group,Boiling Water Reactor,Uranium,"Craigborough, Myanmar",Planned,2006,2.0,1
Morocco,Savage-Bowers,71100,1976,Collier-Ray,Pressurized Water Reactor,Mixed Oxide Fuel,"West Rebecca, Morocco",Planned,2007,7.93,5
Georgia,"Walsh, Blevins and Gonzalez",58200,2020,Nelson and Sons,Boiling Water Reactor,Uranium,"East Brandon, Georgia",Decommissioned,1983,5.75,5
Ukraine,Jones LLC,55500,1999,Bowen-Stephenson,Boiling Water Reactor,Thorium,"East Nicole, Ukraine",Under Construction,2002,4.26,1
Cocos (Keeling) Islands,Gonzalez-Golden,472400,1970,Molina Ltd,Fast Breeder Reactor,Uranium,"Kimside, Cocos (Keeling) Islands",Decommissioned,2003,6.43,5
Mexico,Figueroa-Gibson,158300,1979,Le-Williams,Boiling Water Reactor,Uranium,"Floresshire, Mexico",Decommissioned,1980,4.89,2
Micronesia,"Walker, Padilla and Shea",328200,1974,"Flores, Shah and Osborne",Fast Breeder Reactor,Thorium,"West Derrickside, Micronesia",Decommissioned,1995,9.26,1
Falkland Islands (Malvinas),"Peters, Jennings and Hendrix",180400,2006,Moody-Robertson,Boiling Water Reactor,Mixed Oxide Fuel,"Shieldsmouth, Falkland Islands (Malvinas)",Under Construction,2022,1.94,4
Macao,"Williams, Woodard and Merritt",310700,1994,Hill-Wright,Fast Breeder Reactor,Uranium,"Garciaton, Macao",Planned,1973,2.25,5
Pitcairn Islands,Davis-Blanchard,160900,1997,Jackson Inc,Fast Breeder Reactor,Uranium,"Harrisborough, Pitcairn Islands",Planned,1996,5.33,2
Iran,Robinson-Robinson,393700,1988,White PLC,Pressurized Water Reactor,Uranium,"West Lindsay, Iran",Operational,1982,3.32,2
Japan,Jefferson Group,441900,1975,Crawford Inc,Boiling Water Reactor,Thorium,"Lake Connorchester, Japan",Operational,2003,5.31,3
Taiwan,Rubio-Burke,201400,2009,"Smith, Tran and Carter",Fast Breeder Reactor,Mixed Oxide Fuel,"Tannerberg, Taiwan",Under Construction,2010,7.58,2
Hong Kong,Lindsey-Brown,439700,2000,Allison Inc,Fast Breeder Reactor,Mixed Oxide Fuel,"Carlsonview, Hong Kong",Decommissioned,2022,8.43,1
Paraguay,Kim-Pearson,407200,2004,Morales-Smith,Boiling Water Reactor,Mixed Oxide Fuel,"North Sean, Paraguay",Operational,2000,9.59,1
Serbia,"Smith, Sanchez and Ruiz",288900,1982,Krause-Beltran,Fast Breeder Reactor,Thorium,"Laurenton, Serbia",Operational,2011,3.67,1
French Guiana,Jones-Carter,257900,2017,"Mills, Case and Sanchez",Fast Breeder Reactor,Mixed Oxide Fuel,"New Benjamin, French Guiana",Under Construction,2006,5.79,2
Iraq,Mcdonald-Johnson,136500,2015,"Bass, Lopez and Gonzalez",Fast Breeder Reactor,Thorium,"Rubioberg, Iraq",Operational,1990,7.8,3
Niue,Smith-Velazquez,316000,2008,Donaldson-Everett,Fast Breeder Reactor,Thorium,"East Josephmouth, Niue",Operational,2003,7.44,1
Nigeria,Heath PLC,223800,1985,Howard-Cruz,Boiling Water Reactor,Uranium,"Port Tiffanymouth, Nigeria",Decommissioned,1970,2.13,3
South Georgia and the South Sandwich Islands,"Huang, Evans and Henry",309800,1992,Baker-Choi,Fast Breeder Reactor,Thorium,"Kingborough, South Georgia and the South Sandwich Islands",Under Construction,2023,9.12,1
Saint Barthelemy,Ruiz and Sons,436700,2012,Robinson-Villanueva,Pressurized Water Reactor,Uranium,"Rodriguezmouth, Saint Barthelemy",Decommissioned,2001,9.85,2
